,Product_name,Product_price,Product_buy_link
0,Retro Inspired Minimal Mug,RM18.00,https://shopee.com.my//Retro-Inspired-Minimal-Mug-i.21207087.11824010305?ads_keyword=mugs&adsid=30885270&campaignid=17766074&position=0
1,400ml Heat Resistant Glass Cup Transparent Coffee Mug With Lid&Straw Home Milk Juice Flower Tea Cup Travel Mug Drinking,RM19.54 - RM23.70,https://shopee.com.my//400ml-Heat-Resistant-Glass-Cup-Transparent-Coffee-Mug-With-Lid-Straw-Home-Milk-Juice-Flower-Tea-Cup-Travel-Mug-Drinking-i.5590657.4615355387?ads_keyword=mug&adsid=30036375&campaignid=4172785&position=1
2,"SRS_Coffee Mug Warmer with Stainless Steel Leaf Spoon and Cup, Auto Shut On/Off Beverage Warmers, Smart Cup Warmer Pad",RM18.90,https://shopee.com.my//SRS_Coffee-Mug-Warmer-with-Stainless-Steel-Leaf-Spoon-and-Cup-Auto-Shut-On-Off-Beverage-Warmers-Smart-Cup-Warmer-Pad-i.149518974.9414727879?ads_keyword=cup%20warmer&adsid=16875685&campaignid=9394490&position=2
3,<Ready Stock> Ceramic Horoscope Black Mug / Cup (with Lid and Spoon) Gift Pack / Set,RM19.90 - RM26.90,https://shopee.com.my//-Ready-Stock-Ceramic-Horoscope-Black-Mug-Cup-(with-Lid-and-Spoon)-Gift-Pack-Set-i.261474084.7336390938?ads_keyword=wkdaelpmissisiht&adsid=9137805&campaignid=2033309&position=3
4,Ma'sia Stock Nordic Ceramic Mugs With Cover and Spoon Light Creative Coffee Mug With Lid Spoon Contrast Colors Cup Mug,RM21.60,https://shopee.com.my//Ma'sia-Stock-Nordic-Ceramic-Mugs-With-Cover-and-Spoon-Light-Creative-Coffee-Mug-With-Lid-Spoon-Contrast-Colors-Cup-Mug-i.440927214.9372582535?ads_keyword=mug&adsid=27612015&campaignid=15833750&position=4
5,Coffee Mixing Mug / Automatic Self Stirring Mug Cup / Cawan Kacau Automatik / Stainless Steel Automatic Mug,RM7.49 - RM7.95,https://shopee.com.my//Coffee-Mixing-Mug-Automatic-Self-Stirring-Mug-Cup-Cawan-Kacau-Automatik-Stainless-Steel-Automatic-Mug-i.275797152.5742030199?position=5
6,Coffee Mixing Mug Drinkware Stainless Steel Electric Spin Mug Self Stirring Cup AutoMix Keep Warm,RM7.68,https://shopee.com.my//Coffee-Mixing-Mug-Drinkware-Stainless-Steel-Electric-Spin-Mug-Self-Stirring-Cup-AutoMix-Keep-Warm-i.55633367.11202939303?position=6
7,150-450ml Double Clear Glass Coffee Cup Water Mug Double Wall Insulated Handle Drinking Cup Drinkware Drinking Mugs 150-450ml,RM2.99 - RM14.45,https://shopee.com.my//150-450ml-Double-Clear-Glass-Coffee-Cup-Water-Mug-Double-Wall-Insulated-Handle-Drinking-Cup-Drinkware-Drinking-Mugs-150-450ml--i.380955425.8514606177?position=7
8,Ready Stock Unicorn/ Animals/Nordic Style Creative Mug with Lid & Stainless Steel Spoon   Ladies Gift,RM15.50 - RM18.90,https://shopee.com.my//Ready-Stock-Unicorn-Animals-Nordic-Style-Creative-Mug-with-Lid-Stainless-Steel-Spoon--Ladies-Gift-i.350740588.9012498831?position=8
9,Luxury Marble Pattern Ceramic Mug Gold Plated With Handle Mugs Morning Milk Coffee Tea Cup  Gift Household ceramic cup,RM11.90 - RM14.90,https://shopee.com.my//Luxury-Marble-Pattern-Ceramic-Mug-Gold-Plated-With-Handle-Mugs-Morning-Milk-Coffee-Tea-Cup-Gift-Household-ceramic-cup-i.156343366.4772153188?position=9
10,"(SET OF 6) IKEA FARGRIK MUG/ Half dozen Mug IKEA, 25cl + FREE IKEA Bag",RM29.90,https://shopee.com.my//(SET-OF-6)-IKEA-FARGRIK-MUG-Half-dozen-Mug-IKEA-25cl-FREE-IKEA-Bag-i.10094951.7416249178?position=10
